target_index,load_multiplier,side,stored_relative_free_residual,independent_relative_free_residual,fixed_displacement_max,stored_force_balance_absolute,independent_force_balance_absolute,force_balance_scale,force_balance_absolute_tolerance,independent_minimum_J,stored_minimum_J,free_residual_pass,fixed_displacement_pass,balance_pass,positive_J_pass,independent_J_relative_error,independent_reaction_relative_error,independent_J_pass,independent_reaction_pass,independent_solid_energy_relative_error,independent_solid_energy_pass,independent_medium_energy_relative_error,independent_medium_energy_pass,status
34,0.34,matlab,7.679464846937681e-12,9.162091622063315e-12,0.0,4.0417607837339735e-14,1.1770458635050726e-14,1.02,1.02e-06,0.1525169719312785,0.1525169719312785,True,True,True,True,3.434171245701726e-16,6.343550285269635e-15,True,True,9.565407244581897e-15,True,0.0,True,pass
35,0.35,python,7.727154878070133e-12,9.087971996345534e-12,0.0,4.108065232321203e-14,1.4696937660983267e-14,1.0499999999999998,1.0499999999999997e-06,0.13213309404771176,0.1321330940477122,True,True,True,True,3.5869380236188985e-16,9.530954693319091e-15,True,True,1.817113066696753e-14,True,1.6705057116391883e-16,True,pass
35,0.35,matlab,8.037892897073471e-12,9.263813713114706e-12,0.0,8.089283350590996e-14,1.0170830629400928e-13,1.0499999999999998,1.0499999999999997e-06,0.13213309404771212,0.13213309404771212,True,True,True,True,3.501805226566817e-16,5.875435286094042e-15,True,True,6.1043642084344405e-15,True,1.6705057116391897e-16,True,pass
36,0.36,python,6.8269504875802e-12,8.63969310202601e-12,0.0,7.484089086924384e-14,1.0014310149308834e-13,1.08,1.08e-06,0.11231989350755889,0.11231989350755862,True,True,True,True,3.939741251604262e-16,8.35435429702715e-15,True,True,1.3782396893068957e-14,True,3.0688011288648854e-16,True,pass
36,0.36,matlab,8.060373253779981e-12,1.0003315007122302e-11,0.0,8.215650382226158e-15,4.171839369083926e-15,1.08,1.08e-06,0.1123198935075606,0.1123198935075606,True,True,True,True,3.577636277659196e-16,6.0437385690293e-15,True,True,5.67510460302828e-15,True,0.0,True,pass
37,0.37,python,8.339035146382187e-12,1.0460038397359767e-11,0.0,4.307722563156431e-14,5.729138081077206e-14,1.1099999999999999,1.1099999999999997e-06,0.0934707325977658,0.09347073259776545,True,True,True,True,3.911561885769628e-16,7.720227061177062e-15,True,True,2.062001061936062e-15,True,0.0,True,pass
37,0.37,matlab,8.538777407048562e-12,1.0423315267378644e-11,0.0,1.0882451166731895e-14,2.243090158935384e-14,1.1099999999999999,1.1099999999999997e-06,0.09347073259776507,0.09347073259776507,True,True,True,True,3.57557521056918e-16,4.7478689958119514e-15,True,True,3.7373769247591e-15,True,0.0,True,pass
38,0.38000000000000006,python,7.545396233388295e-12,9.823898159550659e-12,0.0,1.4458497151625688e-14,7.490509454225691e-15,1.1400000000000001,1.14e-06,0.07582278433142325,0.0758227843314234,True,True,True,True,4.1739857528924813e-16,6.158895456237134e-15,True,True,3.695098822787351e-16,True,2.5905892670412505e-16,True,pass
38,0.38000000000000006,matlab,7.312046608012625e-12,8.438129399230948e-12,0.0,4.208140706774718e-14,4.833131229309389e-14,1.1400000000000001,1.14e-06,0.07582278433142309,0.07582278433142309,True,True,True,True,4.137981264691395e-16,4.474718686723137e-15,True,True,2.4633992151915736e-15,True,0.0,True,pass
39,0.38999999999999996,python,8.64951036121792e-12,1.0105863493691282e-11,0.0,1.6254408245601776e-13,7.239505468516944e-14,1.17,1.1699999999999998e-06,0.059634071710607334,0.05963407171060707,True,True,True,True,4.345528063064016e-16,7.895395046281482e-15,True,True,6.370037068340443e-15,True,3.5725224321508503e-16,True,pass
39,0.38999999999999996,matlab,7.922975772375456e-12,9.295733403752953e-12,0.0,9.459100169806334e-14,6.084184249141044e-14,1.17,1.1699999999999998e-06,0.059634071710606404,0.059634071710606404,True,True,True,True,4.093526041671722e-16,5.1790944699989164e-15,True,True,6.252073418926725e-15,True,3.572522432150848e-16,True,pass
40,0.4,python,9.109105772638496e-12,1.1434616152216426e-11,0.0,2.220446049250313e-15,3.598218949277525e-14,1.2000000000000002,1.2000000000000002e-06,0.045167160146258316,0.04516716014625811,True,True,True,True,4.362169190076816e-16,6.077235377143034e-15,True,True,2.0380094512167156e-15,True,2.1918747779580928e-16,True,pass
40,0.4,matlab,7.941797737029812e-12,9.430921536293761e-12,0.0,6.217288588596748e-14,6.928360995408551e-14,1.2000000000000002,1.2000000000000002e-06,0.04516716014625896,0.04516716014625896,True,True,True,True,4.2632854186790808e-16,5.555885261896601e-15,True,True,3.396682418694489e-16,True,0.0,True,pass
41,0.41000000000000003,python,7.69968901083616e-12,9.602422348201304e-12,0.0,5.617333549722722e-15,3.76822190084106e-15,1.23,1.2299999999999999e-06,0.03267125411068915,0.03267125411068891,True,True,True,True,4.653647361002271e-16,8.572009440881943e-15,True,True,8.713733180920878e-15,True,4.0422717919314397e-16,True,pass
41,0.41000000000000003,matlab,7.727476673644361e-12,9.634134427798835e-12,0.0,4.130984571769004e-14,1.0170515532513835e-13,1.23,1.2299999999999999e-06,0.032671254110712526,0.032671254110712526,True,True,True,True,4.330561495989174e-16,6.090630633189434e-15,True,True,9.367263169489938e-15,True,0.0,True,pass
42,0.42,python,6.6959235585100665e-12,8.354038445857811e-12,0.0,2.1334777765716796e-14,2.7977620220553945e-14,1.26,1.26e-06,0.022348821033871244,0.02234882103387101,True,True,True,True,4.589635969191847e-16,7.795065936721821e-15,True,True,1.9117371321917956e-14,True,0.0,True,pass
